,COPOD_ROC,DeepSVDD_ROC,COPOD_PR,DeepSVDD_PR
1_2_101000100_101000101_food & drink_arts & culture,0.5384386864592419,0.49324355099566286,0.5177158701926254,0.4933650014937684
1_2_110011001_010011001_tech_education,0.5669001321137668,0.5106560182943212,0.5386359473860407,0.4975828136537949
1_2_111000100_101000100_travel_food & drink,0.4935042304769949,0.6178049791995985,0.4787998233052816,0.6106795177313522
1_3_000000000_000000001_media_religion_good news_weird news,0.5594846642383917,0.4526815638904546,0.5889293431854061,0.4743160817475741
1_3_000000000_000100000_media_religion_latino voices,0.5429069544824112,0.5162210129302283,0.5562611461083985,0.5119913529418116
1_3_000101000_000100000_black voices_women_latino voices,0.5755490366828682,0.5387630961049445,0.5647902657908396,0.5433697317138996
1_3_000101010_000101000_queer voices_black voices_women,0.48121948321091956,0.5398568544257593,0.48563237509923357,0.5361266377361578
1_3_010000000_010001000_fifty_college,0.3769534624306684,0.4660377256533671,0.4384412388250763,0.4731422109661776
1_3_010010001_010011001_business_crime_education,0.512869737014775,0.5082893423062839,0.5248264606561016,0.49710506921607656
1_3_010011011_010011001_money_education,0.45259282670176854,0.49562153814072907,0.4431868145718562,0.4983567385737061
1_3_011000110_011000010_home & living_weddings,0.4704167673385447,0.5605839389993152,0.45373906466646696,0.551362647857149
1_3_100000001_000000001_world news_u.s. news_good news_weird news,0.664568439440212,0.4941435705706717,0.6864870911078192,0.4978408950052056
1_3_100011000_100001000_science_environment,0.5084695112998164,0.48510700243306826,0.5251238050000537,0.4859705220260409
1_3_101000100_001000100_food & drink_style,0.5227574275259177,0.5275924590011767,0.5090787964902884,0.5278309546094734
1_3_101000100_101000101_food & drink_arts & culture,0.5460076116733348,0.5438650000402043,0.522620305287999,0.5398742464078464
1_3_110011001_010011001_tech_education,0.5803561105805805,0.505034188705857,0.5668831882792958,0.5165776534657741
1_3_111000100_101000100_travel_food & drink,0.48575560445610577,0.4868439501374764,0.47624045309755136,0.49002363959613904
1_4_000101000_000100000_black voices_women_latino voices,0.6014098686104971,0.4807363020302751,0.5920058751168089,0.4895113649007819
1_4_000101010_000101000_queer voices_black voices_women,0.5420606840051604,0.4900781664971724,0.5344742585746713,0.4952825834885924
1_4_010010001_010011001_business_crime_education,0.5430027145494003,0.5024525077419385,0.5636742481153738,0.5047494854612007
1_4_010011011_010011001_money_education,0.48872342921190165,0.5035652751893027,0.46796219211781603,0.508958761583191
1_4_011000110_011000010_home & living_weddings,0.4353596876225101,0.5497070816061148,0.43276826792188394,0.5588417826620253
1_4_101000100_101000101_food & drink_arts & culture,0.5852744271542296,0.550652378162716,0.54846538772712,0.5658870879606686
1_4_110011001_010011001_tech_education,0.5849345767360452,0.5066449295427531,0.5607735106070957,0.5080726143177954
1_5_010011011_010011001_money_education,0.5281407942238266,0.4787075942603187,0.5030342844636966,0.48566530660504426
1_5_110011001_010011001_tech_education,0.6486969040284618,0.5746494212462472,0.6235568839125663,0.5644687317378178
2_2_000000000_010001000_media_religion_college,0.4877499269791191,0.4717682308799255,0.50594281344761,0.49661745121519163
2_2_000000000_100001000_media_religion_environment,0.502629958693869,0.5138560615373843,0.5202937325891713,0.5098502338986504
2_2_000000001_000100000_good news_weird news_latino voices,0.6442810962929536,0.44863361347971653,0.6398646577392874,0.48289282102136305
2_2_000000001_010000000_good news_weird news_fifty,0.4833801549322882,0.515230892567861,0.5278799647189768,0.5161586253420144
2_2_000000100_000000001_entertainment_comedy_good news_weird news,0.6063180576898353,0.5233003364410661,0.6255534355328203,0.5604998851738129
2_2_000000100_000100000_entertainment_comedy_latino voices,0.5481006015153465,0.529005221793175,0.5583889174083719,0.5311859806057168
2_2_000000100_010000000_entertainment_comedy_fifty,0.5190091995953848,0.49494745546783914,0.5291347695315306,0.5085514994966747
2_2_000000100_101000100_entertainment_comedy_food & drink,0.5467833722445375,0.5229653671371192,0.5460664002515421,0.524113802786128
2_2_000101000_000000000_black voices_women_media_religion,0.5375497447038431,0.5099127519630549,0.5384764383147275,0.5069578207872338
2_2_000101000_010001000_black voices_women_college,0.5029809682394298,0.4772335884785768,0.49224289198689136,0.48385234294250806
