,Dataset_name,Anomaly_classes,Training_sample_size,Test_sample_size,Test_balance_size,Test_length_dev,Anomaly_All_ratio_dev,Test_size_balance_dev,Test_All_ratio_dev,Test_Train_ratio_dev,Anomaly_test_ratio_dev,Amount_of_classes
891,892_black voices_SCIENTIFIC_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'sports'
 'entertainment' 'politics' 'weird news' 'environment' 'wellness' 'style'
 'food & drink' 'media' 'queer voices' 'home & living' 'women' 'travel'
 'religion' 'latino voices' 'impact' 'weddings' 'college'
 'healthy living tips' 'good news' 'fifty' 'divorce']",14851,62859 (89.9%),6366 N,62859,0.7269720756659375,6366,0.8088920344871959,4.232644266379368,0.8987257194673793,27
892,893_black voices_PROGRESS,"['money', 'queer voices', 'women', 'education', 'college', 'environment', 'black voices', 'science', 'tech']",127914,62859 (12.8%),8038 A,62859,0.042133844936128276,8038,0.3294963123712475,0.49141610769735916,0.12787349464674908,9
893,894_black voices_PROGRESS_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'sports'
 'entertainment' 'politics' 'weird news' 'crime' 'wellness' 'business'
 'style' 'food & drink' 'media' 'home & living' 'travel' 'religion'
 'latino voices' 'impact' 'weddings' 'healthy living tips' 'good news'
 'fifty' 'divorce']",18754,62859 (87.2%),8038 N,62859,0.6717189663411466,8038,0.7702081776187617,3.351764956809214,0.872126505353251,25
894,895_black voices_CASUAL,"['healthy living tips', 'arts & culture', 'style', 'home & living', 'entertainment', 'black voices', 'comedy', 'food & drink', 'travel']",95789,62859 (34.7%),21806 A,62859,0.13744894357319348,21806,0.3962167818062629,0.6562235747319629,0.3469033869453857,9
895,896_black voices_CASUAL_INVERT,"['u.s. news' 'parenting' 'world news' 'tech' 'sports' 'politics'
 'weird news' 'environment' 'education' 'crime' 'science' 'wellness'
 'business' 'media' 'queer voices' 'women' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'good news' 'fifty'
 'divorce']",50879,62859 (65.3%),21806 N,62859,0.36094357206914135,21806,0.5526648965165556,1.2354606026061834,0.6530966130546143,25
896,897_black voices_COUPLES,"['healthy living tips', 'money', 'queer voices', 'wellness', 'home & living', 'divorce', 'parenting', 'black voices', 'weddings', 'impact']",101201,62859 (31.0%),19487 A,62859,0.1187797147385103,19487,0.3831464098500549,0.6211302259859093,0.310011295120826,10
897,898_black voices_COUPLES_INVERT,"['u.s. news' 'comedy' 'world news' 'arts & culture' 'tech' 'sports'
 'entertainment' 'politics' 'weird news' 'environment' 'education' 'crime'
 'science' 'business' 'style' 'food & drink' 'media' 'women' 'travel'
 'religion' 'latino voices' 'college' 'good news' 'fifty']",45467,62859 (69.0%),19487 N,62859,0.40038402599560585,19487,0.5802762033122242,1.3825191897420106,0.6899887048791741,24
898,899_black voices_TRADITIONAL NEWS,"['arts & culture', 'u.s. news', 'crime', 'money', 'world news', 'weird news', 'good news', 'education', 'sports', 'black voices', 'business', 'politics', 'tech']",91574,62859 (37.6%),23612 A,62859,0.15289478285081556,23612,0.40703088070554866,0.6864284622272697,0.375634356257656,13
899,900_black voices_TRADITIONAL NEWS_INVERT,"['comedy' 'parenting' 'entertainment' 'environment' 'science' 'wellness'
 'style' 'food & drink' 'media' 'queer voices' 'home & living' 'women'
 'travel' 'religion' 'latino voices' 'impact' 'weddings' 'college'
 'healthy living tips' 'fifty' 'divorce']",55094,62859 (62.4%),23612 N,62859,0.3327342246488008,23612,0.5329156528447772,1.1409409373071477,0.6243656437423439,21
900,901_home & living,['home & living'],143644,62859 (2.1%),1296 A,62859,0.006275937879837097,1296,0.3043975148060803,0.4376026844142463,0.02061757266262588,1
901,902_home & living_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'politics' 'weird news' 'environment'
 'education' 'crime' 'science' 'wellness' 'business' 'style'
 'food & drink' 'media' 'queer voices' 'women' 'black voices' 'travel'
 'money' 'religion' 'latino voices' 'impact' 'weddings' 'college'
 'healthy living tips' 'good news' 'fifty' 'divorce']",3024,62859 (97.9%),1296 N,62859,0.9344292154273485,1296,0.954100450799144,20.786706349206348,0.9793824273373741,33
902,903_home & living_weddings,"['home & living', 'weddings']",141087,62859 (3.8%),2392 A,62859,0.011728594824120111,2392,0.3082139389838487,0.44553360692338767,0.0380534211489206,2
